,CODE_GENDER,EXT_SOURCE_3,EMERGENCYSTATE_MODE,OCCUPATION_TYPE,WALLSMATERIAL_MODE,REGION_RATING_CLIENT,AMT_GOODS_PRICE,GOODS_PRICE_CREDIT_PER,DAYS_WORKING_PER,ANNUITY_DAYS_BIRTH_PERC,TARGET
0,M,0.1393757800997895,No,Laborers,"Stone, brick",2.0,351000.0,1.1583974358974358,0.0673290349857309,-0.383028683629886,1
13,M,0.7700870700124128,No,Drivers,Panel,2.0,697500.0,1.3168,0.21496521368734914,-0.48628588196709993,0
18,F,0.5567274263630174,No,Laborers,"Stone, brick",1.0,157500.0,1.0,0.440456033412349,-2.249904761904762,0
22,F,0.3589512285783967,No,Sales staff,Panel,3.0,450000.0,1.1056,0.38632693342903285,-0.34272711898282676,0
24,M,0.5656079814115492,No,Drivers,Panel,2.0,247500.0,1.0,0.0660995924153819,-0.8884165781083954,0
25,F,0.4614823912998385,No,Cleaning staff,"Stone, brick",2.0,225000.0,1.0,0.18071790627909382,-1.745812452029437,0
35,F,0.6785676886853644,No,Sales staff,"Stone, brick",2.0,450000.0,1.0,0.1048692219114986,-0.27315516912119886,0
39,M,0.6058362647264226,No,Managers,"Stone, brick",2.0,540000.0,1.0,0.10920253007565422,-0.5972592592592593,0
40,M,0.3201633668633456,No,Laborers,"Stone, brick",2.0,855000.0,1.396,0.0721885367806887,-0.4990864451296106,1
55,F,0.0701088438273582,No,Managers,"Stone, brick",2.0,666000.0,1.2573986486486486,0.3169432651485913,-0.28436279028930156,0
57,M,0.5136937663039473,No,Security staff,Panel,2.0,247500.0,1.0,0.12883603682595354,-1.4745858585858587,0
59,M,0.3392876999089139,No,Managers,"Stone, brick",1.0,1129500.0,1.0871195219123506,0.10178154205607477,-0.4380477195675814,0
60,F,0.6971469077844458,No,Accountants,"Stone, brick",2.0,1588500.0,1.0475212464589234,0.12156453456587644,-0.2313037780421775,0
61,M,0.434733248750173,No,Sales staff,Panel,2.0,1080000.0,1.0,0.16744656633362842,-0.179223899542137,0
65,M,0.5620604831738043,No,Core staff,Panel,1.0,900000.0,1.396,0.04805378039671342,-0.29635368628174386,0
68,F,0.8327850252992314,No,Sales staff,Panel,2.0,450000.0,1.0,0.26380060220809637,-0.5313777777777777,0
70,M,0.3944954053123993,No,Laborers,Panel,2.0,450000.0,1.0,0.23682238321259055,-0.5688907837703404,0
71,M,0.5971924268337128,No,Laborers,"Stone, brick",2.0,463500.0,1.2376019417475728,0.05789951966766195,-0.6304890525885001,0
77,M,0.5352762504724826,No,Laborers,Panel,2.0,256500.0,1.3168070175438598,0.2908131595282433,-0.6124893071000855,0
87,F,0.4776491548517548,No,Laborers,Others,2.0,270000.0,1.2112,0.01340688499406466,-1.3951970383360124,0
93,F,0.228883416700673,No,Sales staff,"Stone, brick",2.0,720000.0,1.198,0.11912255603242727,-0.37508048937540245,0
98,F,0.0710551246687366,No,Core staff,"Stone, brick",2.0,900000.0,1.0,0.4567147989966782,-0.4607167955024596,0
103,F,0.4066174366275036,No,Core staff,Panel,2.0,675000.0,1.198,0.22539711520905606,-0.4178204981500553,0
104,F,0.6738300778602003,No,Security staff,"Stone, brick",3.0,675000.0,1.0,0.3569290442261478,-1.2017530526422455,0
110,F,0.1206410299309233,No,Sales staff,"Stone, brick",2.0,585000.0,1.2376,0.025365760972829186,-0.3417255092930769,1
111,F,0.4525335592581747,No,Realty agents,Panel,1.0,720000.0,1.2376,0.08452639190166306,-0.3031199658085939,0
124,F,0.7394117535524816,No,Laborers,Panel,2.0,198000.0,1.3167954545454545,0.2687016337059329,-0.9697727746508235,0
129,M,0.7295666907060153,No,Accountants,"Stone, brick",2.0,144000.0,1.264,0.08782229754267037,-1.4034998301053347,0
130,F,0.7490217048463391,No,Sales staff,Panel,2.0,166500.0,1.528,0.1718584841136604,-1.6546296296296297,0
134,F,0.746300213050371,No,Medicine staff,"Stone, brick",3.0,945000.0,1.0,0.3801194239550404,-0.3638106191297681,0
149,F,0.816092360478441,No,Laborers,Panel,2.0,900000.0,1.198,0.2442596991290578,-0.5586200360155436,0
152,F,0.6738300778602003,No,Managers,Monolithic,2.0,675000.0,1.0,0.20316483516483516,-0.2132965806917372,0
153,F,0.6754132910917112,No,Accountants,Panel,3.0,1125000.0,1.1452,0.3170528207432129,-0.41219576719576717,0
155,F,0.4206109640437848,No,Core staff,"Stone, brick",3.0,135000.0,1.0,0.35093671632984214,-2.0085925925925925,0
161,M,0.7886807751817684,No,Laborers,Panel,2.0,238500.0,1.1056037735849056,0.320068708846264,-0.5638076791154693,0
162,F,0.5226973172821112,No,High skill tech staff,"Stone, brick",2.0,454500.0,1.198,0.3829231403822357,-1.2422922538218464,0
165,F,0.1929422277169508,No,Laborers,"Stone, brick",3.0,315000.0,1.0,0.41062085122998826,-0.813015873015873,0
169,M,0.6397075677637197,No,Drivers,"Stone, brick",2.0,531000.0,1.0,0.1361695638914303,-0.4021339220014717,0
170,F,0.2764406945454034,No,Cleaning staff,"Stone, brick",2.0,225000.0,1.198,0.022629207018889635,-1.104123656767773,0
176,F,0.5495965024956946,No,Laborers,"Stone, brick",3.0,675000.0,1.198,0.07501912359304994,-0.6980966548422779,0
179,M,0.7062051096536562,No,Laborers,Mixed,2.0,675000.0,1.3168,0.2215370018975332,-0.4358974358974359,0
183,F,0.5814837058057234,No,Laborers,Panel,2.0,225000.0,1.2376,0.09240971671592302,-0.6960688392162766,0
190,F,0.6075573001388961,No,Sales staff,Panel,2.0,909000.0,1.1451980198019802,0.012480604466032517,-0.4849109377300162,0
202,F,0.2188590822283744,No,Cooking staff,"Stone, brick",2.0,315000.0,1.1584,0.029458047460187573,-0.7973000100371375,0
204,F,0.2176285202779586,No,Core staff,Panel,2.0,1125000.0,1.1452,0.020357893211620664,-0.3651587301587302,0
207,M,0.1214082861631216,No,Laborers,Wooden,3.0,477000.0,1.2376037735849057,0.32952078811153784,-0.41983876621100596,0
211,F,0.2431864804420123,No,Laborers,"Stone, brick",2.0,427500.0,1.1584,0.012008733624454149,-0.475042136652405,1
223,M,0.4776491548517548,No,Core staff,Panel,1.0,180000.0,1.0,0.17393903167961747,-0.48993337726041436,0
228,F,0.3944954053123993,No,Sales staff,Block,2.0,585000.0,1.2376,0.03348590701035895,-0.23746799959954806,0
234,F,0.1830351672178103,No,Sales staff,Panel,2.0,180000.0,1.0,0.05035577449370553,-1.015,0
241,F,0.622922000268356,No,Sales staff,Wooden,2.0,675000.0,1.0,0.27521300885448574,-0.8197297544051858,0
255,M,0.4632753280912678,No,Laborers,Panel,1.0,774000.0,1.3168023255813954,0.05301162381120113,-0.3659448311420469,1
259,F,0.5884877883422673,No,Medicine staff,"Stone, brick",2.0,540000.0,1.0,0.6256760304541874,-0.7053703703703704,0
260,M,0.3154721549257734,No,Sales staff,"Stone, brick",2.0,324000.0,1.3168055555555556,0.12875747399459414,-0.5433829583639317,1
261,M,0.2009260877159709,No,Laborers,Panel,2.0,454500.0,1.2573960396039603,0.02001929570670526,-0.266358292377373,1
262,F,0.0516817674367294,No,Sales staff,Panel,2.0,148500.0,1.264,0.052937946183415706,-0.9836331226705558,0
274,F,0.5779691187553125,No,Core staff,"Stone, brick",2.0,630000.0,1.0,0.43648974313760064,-0.5589394835403114,0
288,F,0.3092753558842053,No,Core staff,"Stone, brick",1.0,450000.0,1.0,0.08274276958437081,-0.34571579923188983,0
291,F,0.2608559142068693,No,Laborers,Panel,2.0,450000.0,1.1056,0.09650439631138752,-0.48755750731911335,1
293,F,0.470456116119975,No,High skill tech staff,Panel,2.0,630000.0,1.0,0.07002630095810633,-0.9148405946549798,0
294,M,0.7789040389824382,No,Laborers,"Stone, brick",2.0,495000.0,1.0,0.13132110517761783,-0.8701010101010102,0
296,M,0.3154721549257734,No,Laborers,"Stone, brick",2.0,450000.0,1.2112,0.3496658148220955,-0.9840648047394511,0
297,M,0.1735274304649146,No,Laborers,Mixed,2.0,90000.0,1.132,0.04023809523809524,-0.7758381823219729,0
298,M,0.5370699579791587,No,Drivers,Panel,2.0,90000.0,1.0,0.03859167809785094,-2.4275724275724277,0
299,M,0.4794489811780563,No,Laborers,Panel,1.0,225000.0,1.0,0.3449986710374767,-0.7705751834784093,0
301,F,0.5172965813614878,No,Core staff,Wooden,2.0,463500.0,1.2573980582524271,0.3840669910603146,-0.6849591132814014,0
312,M,0.7992967832109371,No,Laborers,"Stone, brick",2.0,148500.0,1.528,0.018293908731488305,-1.3366474091987999,0
314,M,0.7862666146611379,No,Laborers,Panel,2.0,1800000.0,1.0,0.02918299315749459,-0.2727178481143887,0
315,F,0.6058362647264226,No,Sales staff,Panel,2.0,697500.0,1.1584,0.21034522307604084,-0.6498593176439897,0
316,F,0.5406544504453575,No,Core staff,Block,2.0,454500.0,1.0858019801980199,0.0292971374815213,-0.3040742102897307,0
321,F,0.7713615919194317,No,Laborers,Block,3.0,472500.0,1.1188,0.029550276872121306,-0.8577706751897722,0
323,F,0.524496446363472,No,Core staff,Panel,1.0,675000.0,1.198,0.028846153846153848,-0.46936181032290875,0
328,M,0.4614823912998385,No,Drivers,Panel,2.0,225000.0,1.132,0.07126546651797568,-0.9299259259259259,0
336,F,0.6722428897082422,No,Secretaries,"Stone, brick",2.0,463500.0,1.1187961165048543,0.21897617412435944,-0.9146432799400835,0
337,M,0.7394117535524816,No,Core staff,Panel,2.0,1800000.0,1.09504,0.025675295441755768,-0.2071005055140364,0
339,F,0.8327850252992314,No,Sales staff,"Stone, brick",2.0,675000.0,1.198,0.027136227136227136,-0.6985925163062136,0
343,M,0.7407990879702335,No,Drivers,"Stone, brick",1.0,675000.0,1.3168,0.04109097434057061,-0.5215967055079789,0
345,F,0.7194907850918436,No,Medicine staff,Panel,2.0,1237500.0,1.1452,0.13168182017832827,-0.6069257837492003,0
350,M,0.4866531565147181,No,Sales staff,"Stone, brick",2.0,1350000.0,1.0,0.14093264248704662,-0.2680250981580376,0
353,F,0.4956658291397297,No,Security staff,Panel,2.0,450000.0,1.1584,0.31359005353134173,-0.4330771963280797,0
357,M,0.2238313174701554,No,Managers,"Stone, brick",2.0,904500.0,1.1451990049751244,0.28567748583204533,-0.5809203142536475,0
361,F,0.8327850252992314,No,Sales staff,Panel,2.0,630000.0,1.2574,0.17842384887839433,-0.3543840380743181,0
363,F,0.4632753280912678,No,Sales staff,"Stone, brick",2.0,450000.0,1.1584,0.1328666064438422,-0.4217142857142857,0
365,F,0.3556387169923543,No,Sales staff,"Stone, brick",2.0,81000.0,1.132,0.15339914583770917,-1.5528375733855186,0
366,M,0.3893387918468769,No,Managers,Block,1.0,900000.0,1.0,0.12048003353946127,-0.5959865698446162,0
369,F,0.7106743858828587,No,Core staff,Wooden,2.0,688500.0,1.0,0.21953474040979817,-0.640801619033516,0
374,F,0.0005272652387098,No,Laborers,Panel,2.0,1350000.0,1.2772,0.3402912127074636,-0.4131461324078456,0
379,F,0.6577838002083306,No,Sales staff,Panel,2.0,405000.0,1.0,0.12499353838201085,-0.9553086419753086,0
387,F,0.4866531565147181,No,Laborers,"Stone, brick",2.0,675000.0,1.396,0.3293726235741445,-0.608103470077133,0
401,M,0.7675231046555077,No,Drivers,"Stone, brick",2.0,247500.0,1.396,0.0833587786259542,-0.5569727891156463,0
408,M,0.2431864804420123,No,Laborers,Panel,2.0,450000.0,1.2112,0.03727644904115492,-0.5252079443218469,1
413,M,0.0790596959945767,No,Drivers,"Stone, brick",2.0,225000.0,1.264,0.011009843237331389,-0.6068852604097527,1
415,M,0.4525335592581747,No,Laborers,"Stone, brick",2.0,180000.0,1.0,0.019903117101937658,-1.055111111111111,0
426,F,0.3077366963789207,No,Core staff,Panel,2.0,634500.0,1.1287021276595746,0.07044700679197599,-0.22001546467884728,0
430,M,0.7295666907060153,No,Low-skill Laborers,"Stone, brick",2.0,180000.0,1.0,0.04477445288075033,-0.9951111111111111,0
437,F,0.266456808245056,No,Core staff,Wooden,2.0,148500.0,1.264,0.011274697608231623,-1.4418402777777777,0
441,F,0.3441550073724169,No,Managers,Panel,1.0,1800000.0,1.09504,0.14062842128311803,-0.2945548944678244,0
446,F,0.6397075677637197,No,Laborers,"Stone, brick",2.0,922500.0,1.1188,0.05093955173194476,-0.4028547324258385,0
453,M,0.6279908192952864,No,Low-skill Laborers,"Stone, brick",1.0,900000.0,1.2178,0.09891673049567787,-0.3458009345971205,0
472,F,0.3910549766342248,No,Medicine staff,Panel,2.0,130500.0,1.198,0.5444837686111789,-1.4572940287226002,0
